number,title,book,author,word_count,char_count,paragraph_count,reading_minutes
1,The Absence of Mr Glass,The Wisdom of Father Brown,G. K. Chesterton,5699,32004,90,23.9
2,The Paradise of Thieves,The Wisdom of Father Brown,G. K. Chesterton,6573,37237,111,27.6
3,The Duel of Dr Hirsch,The Wisdom of Father Brown,G. K. Chesterton,5792,32317,95,24.3
4,The Man in the Passage,The Wisdom of Father Brown,G. K. Chesterton,6412,36232,99,26.9
5,The Mistake of the Machine,The Wisdom of Father Brown,G. K. Chesterton,5937,33056,89,24.9
6,The Head of Caesar,The Wisdom of Father Brown,G. K. Chesterton,6208,33742,85,26.1
7,The Purple Wig,The Wisdom of Father Brown,G. K. Chesterton,5402,29317,80,22.7
8,The Perishing of the Pendragons,The Wisdom of Father Brown,G. K. Chesterton,7406,41273,105,31.1
9,The God of the Gongs,The Wisdom of Father Brown,G. K. Chesterton,5799,32384,119,24.4
10,The Salad of Colonel Cray,The Wisdom of Father Brown,G. K. Chesterton,5265,29161,90,22.1
11,The Strange Crime of John Boulnois,The Wisdom of Father Brown,G. K. Chesterton,5789,32821,111,24.3
12,The Fairy Tale of Father Brown,The Wisdom of Father Brown,G. K. Chesterton,5218,29138,75,21.9
